iter	F1	Logloss	Precision	Recall
46	0.7843707547	0.4817551179	0.7553168563	0.8157492355
47	0.7838193527	0.4807297533	0.7549497576	0.8149847095
48	0.7847888071	0.4795836937	0.7560925507	0.8157492355
49	0.7849980005	0.4788934222	0.7564809956	0.8157492355
50	0.7841327033	0.4779263278	0.7555313591	0.8149847095
51	0.7844752261	0.4774413867	0.7555106307	0.8157492355
52	0.785918821	0.4758082223	0.756222472	0.8180428135
53	0.7857865746	0.4752382875	0.7566317208	0.8172782875
54	0.7866007334	0.4741815734	0.7561798436	0.8195718654
55	0.7868099135	0.4733082776	0.7565665651	0.8195718654
56	0.7865467791	0.4729091804	0.7573861299	0.8180428135
57	0.7864420498	0.4723725514	0.7571919382	0.8180428135
58	0.7876477475	0.4715589926	0.7581174149	0.8195718654
59	0.7883027483	0.4710131744	0.7586768723	0.8203363914
60	0.7873333507	0.4708567324	0.7575351017	0.8195718654
61	0.7880929694	0.4704498653	0.7582883532	0.8203363914
62	0.7888526367	0.469303891	0.7590416972	0.8211009174
63	0.7889327554	0.4687403883	0.7598448222	0.8203363914
64	0.7891922945	0.4682107502	0.7590176509	0.8218654434
65	0.789297267	0.4677113722	0.7592118724	0.8218654434
66	0.7900805355	0.4675469809	0.7593574685	0.8233944954
67	0.7900805355	0.4670311005	0.7593574685	0.8233944954
68	0.7902905907	0.4668534558	0.7597456365	0.8233944954
69	0.789765662	0.46616893	0.7587759597	0.8233944954
70	0.7893462209	0.4659502397	0.7580019986	0.8233944954
71	0.7895558858	0.4657024387	0.7583887817	0.8233944954
72	0.7901043102	0.4653459139	0.7587522435	0.8241590214
73	0.7898945487	0.46466383	0.7583654487	0.8241590214
74	0.7899994155	0.4643889835	0.7585587968	0.8241590214
75	0.7906757133	0.4640065959	0.7585118829	0.8256880734
76	0.7896848986	0.463504498	0.757979048	0.8241590214
77	0.7905475354	0.4628956153	0.7589219268	0.8249235474
78	0.7903141831	0.4623608953	0.7591394331	0.8241590214
79	0.7904191613	0.4622008724	0.7593331762	0.8241590214
80	0.7908624477	0.4616361006	0.7595025803	0.8249235474
81	0.7908624477	0.4611192475	0.7595025803	0.8249235474
82	0.7906292016	0.4607284297	0.7597209591	0.8241590214
83	0.7919582087	0.4600003741	0.7602278975	0.8264525994
84	0.791515531	0.4595468283	0.7600591559	0.8256880734
85	0.7916206336	0.4594408401	0.760253009	0.8256880734
86	0.791515531	0.4588608448	0.7600591559	0.8256880734
87	0.7901855491	0.4584995673	0.7595515029	0.8233944954
88	0.7909674743	0.4579858639	0.759696329	0.8249235474
89	0.790990436	0.4578610736	0.7590913715	0.8256880734
90	0.7910953993	0.4577624097	0.7592847311	0.8256880734
91	0.7910953993	0.4573054163	0.7592847311	0.8256880734
92	0.7912003904	0.4571711041	0.7594781893	0.8256880734
93	0.7916430073	0.4566900434	0.7596472104	0.8264525994
94	0.7917480465	0.4566459088	0.7598406742	0.8264525994
95	0.7919361092	0.4559135692	0.760835162	0.8256880734
96	0.7915982198	0.4550048951	0.7608609001	0.8249235474
97	0.7919971887	0.4539738822	0.7622512342	0.8241590214
98	0.7923353621	0.453687391	0.7622240872	0.8249235474
99	0.7924407803	0.4536724738	0.762419227	0.8249235474
100	0.7927786078	0.4536168805	0.7623919376	0.8256880734
101	0.7924407803	0.4535280674	0.762419227	0.8249235474
102	0.7924407803	0.4535076309	0.762419227	0.8249235474
103	0.7925462265	0.4532846905	0.7626144668	0.8249235474
104	0.7926517007	0.4532306737	0.7628098067	0.8249235474
105	0.7924407803	0.4529520778	0.762419227	0.8249235474
106	0.7925462265	0.4529114139	0.7626144668	0.8249235474
107	0.7925462265	0.452548297	0.7626144668	0.8249235474
108	0.7925462265	0.4521052286	0.7626144668	0.8249235474
109	0.7925462265	0.4514734514	0.7626144668	0.8249235474
110	0.7928627335	0.4513409782	0.7632007867	0.8249235474
111	0.7923135505	0.4510133648	0.7628375392	0.8241590214
112	0.7923135505	0.4507568838	0.7628375392	0.8241590214
113	0.7924190607	0.4502927675	0.7630331747	0.8241590214
114	0.7920805795	0.4500306451	0.7630611568	0.8233944954
115	0.7912970654	0.4499099178	0.7629210588	0.8218654434
116	0.7916137498	0.4494390939	0.7635100354	0.8218654434
117	0.7916137498	0.449250813	0.7635100354	0.8218654434
118	0.7915081602	0.4491337839	0.7633136088	0.8218654434
119	0.7921641429	0.448607081	0.7638743126	0.8226299694
120	0.7917193676	0.4485896168	0.7637065631	0.8218654434
121	0.79137989	0.447961386	0.7637353005	0.8211009174
122	0.7915912256	0.4475055938	0.7641290556	0.8211009174
123	0.7916969357	0.4473125265	0.7643260854	0.8211009174
124	0.7914855437	0.4471888866	0.7639321273	0.8211009174
125	0.7920363901	0.4466747536	0.7642967536	0.8218654434
126	0.7921421207	0.4464752194	0.7644936866	0.8218654434
127	0.7925869778	0.4464002282	0.7646610495	0.8226299694
128	0.7925869778	0.4462805662	0.7646610495	0.8226299694
129	0.793793254	0.445642341	0.7655855979	0.8241590214
130	0.7933489908	0.4455709971	0.7654190007	0.8233944954
131	0.7942371902	0.44497919	0.7657519587	0.8249235474
132	0.7945550495	0.4448497134	0.7663431147	0.8249235474
133	0.7958477505	0.4440126	0.7680890532	0.8256880734
134	0.7963975311	0.4435056627	0.7684517426	0.8264525994
135	0.7965038359	0.4433626349	0.7686497175	0.8264525994
136	0.7965038359	0.4432589121	0.7686497175	0.8264525994
137	0.7972835999	0.4430068555	0.7687804772	0.8279816514
138	0.7968407287	0.442918721	0.7686162266	0.8272171254
139	0.7970534067	0.4427159225	0.7690120818	0.8272171254
140	0.7974963178	0.4425643712	0.7691761358	0.8279816514
141	0.7974963178	0.442444048	0.7691761358	0.8279816514
142	0.7970534067	0.442051749	0.7690120818	0.8272171254
143	0.7967165308	0.4419718932	0.7690459737	0.8264525994
144	0.7976921224	0.4415110304	0.7702020977	0.8272171254
145	0.7977986746	0.4412282119	0.7704007919	0.8272171254
146	0.7977986746	0.4410776639	0.7704007919	0.8272171254
147	0.7987910694	0.4403842363	0.7709258814	0.8287461774
148	0.7973552974	0.4402845266	0.7702371972	0.8264525994
149	0.798668298	0.440103552	0.7713595584	0.8279816514
150	0.7996603323	0.4398475957	0.7718836987	0.8295107034
151	0.7995535783	0.4397222386	0.7716847904	0.8295107034
152	0.7984549546	0.4395158869	0.7709616509	0.8279816514
153	0.798118502	0.4393337642	0.7709974899	0.8272171254
154	0.7976750649	0.4392624531	0.7708341939	0.8264525994
155	0.7971247028	0.4391137731	0.7704714634	0.8256880734
156	0.798118502	0.4389121571	0.7709974899	0.8272171254
157	0.7977986746	0.4388422084	0.7704007919	0.8272171254
158	0.7979052552	0.4387626131	0.7705995886	0.8272171254
159	0.7976921224	0.4384515714	0.7702020977	0.8272171254
160	0.7991425643	0.4382607101	0.7702602683	0.8302752294
161	0.7988230964	0.4381496376	0.7696669023	0.8302752294
162	0.798594073	0.4379016027	0.7698992178	0.8295107034
163	0.798594073	0.4378487184	0.7698992178	0.8295107034
164	0.7994776951	0.4375927028	0.770225307	0.8310397554
165	0.7990202353	0.4374235131	0.7706917844	0.8295107034
166	0.800786495	0.4371176741	0.7713414628	0.8325688073
167	0.8007722705	0.4366151619	0.7719723996	0.8318042813
168	0.8007722705	0.436596082	0.7719723996	0.8318042813
169	0.8001173455	0.4363995669	0.771413584	0.8310397554
170	0.8003307898	0.4363849295	0.7718104915	0.8310397554
171	0.8002240534	0.4363673656	0.7716119867	0.8310397554
172	0.8012134263	0.4362604139	0.7721340781	0.8325688073
173	0.8007722705	0.4361405454	0.7719723996	0.8318042813
174	0.8013202302	0.4359363952	0.7723324865	0.8325688073
175	0.8016542576	0.4358054409	0.7722955275	0.8333333333
176	0.8022145325	0.4355705513	0.7720240163	0.8348623853
177	0.8023213094	0.4353691802	0.7722218231	0.8348623853
178	0.8017610811	0.4352656306	0.7724938367	0.8333333333
179	0.8022016077	0.435216164	0.7726549584	0.8340978593
180	0.8016542576	0.4349153632	0.7722955275	0.8333333333
181	0.8013202302	0.4348681036	0.7723324865	0.8325688073
182	0.8012134263	0.4346141019	0.7721340781	0.8325688073
183	0.8013202302	0.4345972658	0.7723324865	0.8325688073
184	0.8013202302	0.4345831759	0.7723324865	0.8325688073
185	0.801867933	0.4344876494	0.7726922478	0.8333333333
186	0.8027362491	0.4341077302	0.773647537	0.8340978593
187	0.8027362491	0.4339253576	0.773647537	0.8340978593
188	0.8027362491	0.433804479	0.773647537	0.8340978593
189	0.8026292638	0.4337991498	0.7734488173	0.8340978593
190	0.8038421192	0.4336558506	0.773731306	0.8363914373
191	0.8038421192	0.4335001262	0.773731306	0.8363914373
192	0.8047203789	0.4332012957	0.7740509109	0.8379204893
193	0.8050519819	0.4331893758	0.7740124543	0.8386850153
194	0.8052660972	0.433045287	0.7744083969	0.8386850153
195	0.8051590253	0.4329535229	0.774210375	0.8386850153
196	0.806133089	0.4326150194	0.7753602417	0.8394495413
197	0.8060258842	0.4324020818	0.7751619135	0.8394495413
198	0.8065711866	0.4323069746	0.7755187607	0.8402140673
199	0.806249601	0.4321089559	0.7749243781	0.8402140673
200	0.806249601	0.4318835822	0.7749243781	0.8402140673
201	0.8062403223	0.431500996	0.7755586715	0.8394495413
202	0.8062403223	0.4312577817	0.7755586715	0.8394495413
203	0.806133089	0.4311125506	0.7753602417	0.8394495413
204	0.8062403223	0.4307000338	0.7755586715	0.8394495413
205	0.8064639629	0.4304900747	0.7753205319	0.8402140673
206	0.8067857197	0.4304271221	0.7759155226	0.8402140673
207	0.8067857197	0.4304088298	0.7759155226	0.8402140673
208	0.8077841575	0.4303682696	0.7751624528	0.8432721713
209	0.8082205585	0.4301701725	0.7753203524	0.8440366972
210	0.8079985558	0.4299451098	0.7755574119	0.8432721713
211	0.8085422545	0.4299168087	0.7759126461	0.8440366972
212	0.8088711129	0.4297633311	0.7758725953	0.8448012232
213	0.8093003998	0.4296120784	0.776662931	0.8448012232
214	0.8099570539	0.4295548013	0.7765814671	0.8463302752
215	0.8095215361	0.4295262051	0.7764246247	0.8455657492
216	0.8094142101	0.4294798153	0.7762271898	0.8455657492
217	0.8094142101	0.4293795024	0.7762271898	0.8455657492
218	0.8094142101	0.4293727379	0.7762271898	0.8455657492
219	0.8096288906	0.4292971277	0.7766221601	0.8455657492
220	0.8095215361	0.4292783396	0.7764246247	0.8455657492
221	0.8096288906	0.4291751844	0.7766221601	0.8455657492
222	0.8096288906	0.42912832	0.7766221601	0.8455657492
223	0.8087568609	0.4289459059	0.7763080115	0.8440366972
224	0.8089783919	0.4287578382	0.7760700284	0.8448012232
225	0.8089851904	0.428555159	0.7754384533	0.8455657492
226	0.8099629722	0.4285283128	0.7759497391	0.8470948012
227	0.8098557231	0.4284208428	0.7757529014	0.8470948012
228	0.8098557231	0.4284171859	0.7757529014	0.8470948012
229	0.8098557231	0.4280509009	0.7757529014	0.8470948012
230	0.8101775559	0.4276482668	0.7763437142	0.8470948012
231	0.8100702498	0.4276367334	0.7761466766	0.8470948012
232	0.8100702498	0.4276264779	0.7761466766	0.8470948012
233	0.8105050759	0.4275499567	0.7763033746	0.8478593272
234	0.8109395842	0.4274968197	0.7764598534	0.8486238532
235	0.8110469269	0.4274610318	0.7766566946	0.8486238532
236	0.8108322699	0.4273664028	0.776263112	0.8486238532
237	0.8112664427	0.4271682137	0.7764194699	0.8493883792
238	0.8109395842	0.4269460724	0.7764598534	0.8486238532
239	0.8113737752	0.426722093	0.7766161134	0.8493883792
240	0.8114811361	0.4265285867	0.7768128566	0.8493883792
241	0.8114811361	0.4264101377	0.7768128566	0.8493883792
242	0.8114811361	0.4263059577	0.7768128566	0.8493883792
243	0.8116959433	0.4262826703	0.7772066421	0.8493883792
244	0.8113737752	0.4261155924	0.7766161134	0.8493883792
245	0.8109395842	0.4261004513	0.7764598534	0.8486238532
246	0.811154298	0.4260736998	0.7768536357	0.8486238532
247	0.811154298	0.4257408271	0.7768536357	0.8486238532
248	0.8113691255	0.4257223611	0.7772478175	0.8486238532
249	0.8124523504	0.4252554806	0.7779535217	0.8501529052
250	0.8124523504	0.4251285511	0.7779535217	0.8501529052
251	0.8122373363	0.4251144086	0.7775593338	0.8501529052
252	0.8120183672	0.4249885484	0.7777980696	0.8493883792
253	0.8124523504	0.4248747978	0.7779535217	0.8501529052
254	0.8118033895	0.4247515045	0.7774036847	0.8493883792
255	0.8131011807	0.4246669566	0.778503147	0.8509174312
256	0.8122334589	0.4246329996	0.7781928549	0.8493883792
257	0.8126674784	0.4245300467	0.7783481095	0.8501529052
258	0.8115840668	0.4244118812	0.7776423996	0.8486238532
259	0.8119108641	0.4243394015	0.7776008271	0.8493883792
260	0.8124523504	0.4243038266	0.7779535217	0.8501529052
261	0.8115840668	0.4241426028	0.7776423996	0.8486238532
262	0.8120183672	0.424093774	0.7777980696	0.8493883792
263	0.8120183672	0.4240881466	0.7777980696	0.8493883792
264	0.8122334589	0.4239440166	0.7781928549	0.8493883792
265	0.8126674784	0.4238297669	0.7783481095	0.8501529052
266	0.8123410475	0.4237313421	0.7783903978	0.8493883792
267	0.8122334589	0.4236254872	0.7781928549	0.8493883792
268	0.8121258988	0.4234562019	0.7779954122	0.8493883792
269	0.8123410475	0.4233952146	0.7783903978	0.8493883792
270	0.8117991221	0.4232117521	0.7780373826	0.8486238532
271	0.8124486646	0.4229569592	0.7785880411	0.8493883792
272	0.8128827203	0.4228178306	0.7787430978	0.8501529052
273	0.8132088055	0.4226398141	0.7787004922	0.8509174312
274	0.8132088055	0.4225197965	0.7787004922	0.8509174312
275	0.813531851	0.4224459658	0.7792931286	0.8509174312
276	0.8137498806	0.4224005648	0.7790525606	0.8516819572
277	0.8137498806	0.4223976243	0.7790525606	0.8516819572
278	0.8136422092	0.4222792116	0.7788552142	0.8516819572
279	0.8136422092	0.4222527854	0.7788552142	0.8516819572
280	0.8136422092	0.4221774678	0.7788552142	0.8516819572
281	0.8136422092	0.4221714894	0.7788552142	0.8516819572
282	0.8136422092	0.422002327	0.7788552142	0.8516819572
283	0.8132088055	0.421993732	0.7787004922	0.8509174312
284	0.8135345664	0.4217811758	0.7786579677	0.8516819572
285	0.8135345664	0.4217665345	0.7786579677	0.8516819572
286	0.8135345664	0.4217659309	0.7786579677	0.8516819572
287	0.8139653088	0.4215421543	0.7794475536	0.8516819572
288	0.8145062248	0.4213404398	0.7797993102	0.8524464832
289	0.81439845	0.4212688654	0.7796017626	0.8524464832
290	0.8142907036	0.4211300224	0.7794043151	0.8524464832
291	0.81439845	0.4211274094	0.7796017626	0.8524464832
292	0.8145062248	0.4210517889	0.7797993102	0.8524464832
293	0.8145062248	0.4210280349	0.7797993102	0.8524464832
294	0.8145062248	0.4209340731	0.7797993102	0.8524464832
295	0.81439845	0.420853385	0.7796017626	0.8524464832
296	0.814288665	0.4207355622	0.7800407946	0.8516819572
297	0.8147218601	0.4206904585	0.7801947058	0.8524464832
298	0.8151547387	0.4205922646	0.7803484018	0.8532110092
299	0.8151547387	0.4204762632	0.7803484018	0.8532110092
300	0.8147218601	0.4202376101	0.7801947058	0.8524464832
301	0.8148297205	0.4201851476	0.7803925541	0.8524464832
302	0.8143965076	0.4200231045	0.7802387424	0.8516819572
303	0.8143965076	0.4199809812	0.7802387424	0.8516819572
304	0.8141808511	0.4199378052	0.7798429473	0.8516819572
305	0.8145062248	0.4197902558	0.7797993102	0.8524464832
306	0.81439845	0.4196607628	0.7796017626	0.8524464832
307	0.8145062248	0.4195315775	0.7797993102	0.8524464832
308	0.8145062248	0.4195033921	0.7797993102	0.8524464832
309	0.8145062248	0.4194446304	0.7797993102	0.8524464832
310	0.8147218601	0.4194174297	0.7801947058	0.8524464832
311	0.8147218601	0.4193225241	0.7801947058	0.8524464832
312	0.8143965076	0.4192324035	0.7802387424	0.8516819572
313	0.8139629778	0.4191449442	0.780084715	0.8509174312
314	0.8140708308	0.4189379821	0.780282863	0.8509174312
315	0.8140708308	0.4189354058	0.780282863	0.8509174312
316	0.8141808511	0.4188067591	0.7798429473	0.8516819572
317	0.8149390676	0.4187377033	0.7799532046	0.8532110092
318	0.8148312749	0.4186773817	0.7797557561	0.8532110092
319	0.8146157749	0.4185690944	0.7793611589	0.8532110092
320	0.8146157749	0.4185384538	0.7793611589	0.8532110092
321	0.8149405231	0.4183766731	0.7793180847	0.8539755352
322	0.8150482482	0.4183089415	0.779515135	0.8539755352
323	0.8145080676	0.4182366696	0.77916401	0.8532110092
324	0.8150482482	0.4180821898	0.779515135	0.8539755352
325	0.8150482482	0.4180674151	0.779515135	0.8539755352
326	0.8152637839	0.4178559901	0.7799095346	0.8539755352
327	0.8147235106	0.4177383707	0.7795584076	0.8532110092
328	0.8142907036	0.4175304894	0.7794043151	0.8524464832
329	0.8152637839	0.4174831638	0.7799095346	0.8539755352
330	0.8151560018	0.4174439771	0.7797122849	0.8539755352
331	0.8151560018	0.4172503463	0.7797122849	0.8539755352
332	0.8147235106	0.4172318023	0.7795584076	0.8532110092
333	0.8141808511	0.4171056838	0.7798429473	0.8516819572
334	0.8145062248	0.4170253399	0.7797993102	0.8524464832
335	0.8136395899	0.4169518119	0.7794908745	0.8509174312
336	0.8141808511	0.4166178694	0.7798429473	0.8516819572
337	0.8143965076	0.4165472339	0.7802387424	0.8516819572
338	0.8143965076	0.4165056493	0.7802387424	0.8516819572
339	0.8139629778	0.416492063	0.780084715	0.8509174312
340	0.814288665	0.4164664485	0.7800407946	0.8516819572
341	0.8141808511	0.4163875516	0.7798429473	0.8516819572
342	0.8156951975	0.4161329744	0.7806995324	0.8539755352
343	0.8156951975	0.4160597793	0.7806995324	0.8539755352
344	0.8154794336	0.4159901914	0.7803043336	0.8539755352
345	0.8152637839	0.4159525601	0.7799095346	0.8539755352
346	0.8152637839	0.4159437381	0.7799095346	0.8539755352
347	0.8156959773	0.4158609784	0.7800630985	0.8547400612
348	0.8153715945	0.4158345915	0.7801068842	0.8539755352
349	0.8158038057	0.4158259607	0.7802603492	0.8547400612
350	0.8158038057	0.4157542812	0.7802603492	0.8547400612
351	0.8154794336	0.4156152789	0.7803043336	0.8539755352
352	0.8148312749	0.4154284259	0.7797557561	0.8532110092
353	0.81439845	0.4152421767	0.7796017626	0.8524464832
354	0.8142907036	0.4152192735	0.7794043151	0.8524464832
355	0.8146140282	0.4150371046	0.7799969579	0.8524464832
356	0.8145062248	0.414855087	0.7797993102	0.8524464832
357	0.8151547387	0.4146102552	0.7803484018	0.8532110092
358	0.8151547387	0.4146023297	0.7803484018	0.8532110092
359	0.8155873013	0.4145413568	0.780501883	0.8539755352
360	0.8160195481	0.4143824908	0.7806551498	0.8547400612
361	0.8161274621	0.4141764245	0.7808527	0.8547400612
362	0.8161274621	0.4141154315	0.7808527	0.8547400612
363	0.8169910453	0.4139584638	0.7811583942	0.8562691131
364	0.8169910453	0.4138183493	0.7811583942	0.8562691131
365	0.8165594112	0.4136934249	0.7810056538	0.8555045872
366	0.8166673715	0.4135697723	0.7812032047	0.8555045872
367	0.8166673715	0.413490086	0.7812032047	0.8555045872
368	0.8167753603	0.4134865824	0.7814008556	0.8555045872
369	0.8164513753	0.4134054088	0.781445951	0.8547400612
